inp w
assign x z
mod x 26
add x 12
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 9
mul y x
add z y
inp w
assign x z
mod x 26
add x 12
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 4
mul y x
add z y
inp w
assign x z
mod x 26
add x 12
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 2
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -9
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 5
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -9
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 1
mul y x
add z y
inp w
assign x z
mod x 26
add x 14
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 6
mul y x
add z y
inp w
assign x z
mod x 26
add x 14
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 11
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -10
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 15
mul y x
add z y
inp w
assign x z
mod x 26
add x 15
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 7
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -2
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 12
mul y x
add z y
inp w
assign x z
mod x 26
add x 11
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 15
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -15
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 9
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -9
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 12
mul y x
add z y
inp w
assign x z
mod x 26
div z 26
add x -3
noeql x w
assign y 25
mul y x
add y 1
mul z y
assign y w
add y 12
mul y x
add z y
